##clock input	
fpga_clk_40m	U1.M2 
dut_b5_io[2]	U1.P20
dut_b5_io[3]	U1.T21
dut_b5_io[4]	U1.N21
dut_b5_io[5]	U1.T22
dut_b5_io[6]	U1.R22
dut_b5_io[7]	U1.R21
dut_b5_io[8]	U1.T19
dut_b5_io[9]	U1.N16
dut_b6_io[0]	U1.E21
dut_b6_io[1]	U1.F21
dut_b6_io[10]	U1.H20
dut_b6_io[11]	U1.H22
dut_b6_io[12]	U1.H21
dut_b6_io[13]	U1.J20
dut_b6_io[14]	U1.H19
dut_b6_io[15]	U1.J21
dut_b6_io[16]	U1.K20
dut_b6_io[17]	U1.K22
dut_b6_io[18]	U1.K21
dut_b6_io[19]	U1.L20
dut_b6_io[2]	U1.E19
dut_b6_io[20]	U1.K19
dut_b6_io[3]	U1.F22
dut_b6_io[4]	U1.G22
dut_b6_io[5]	U1.F20
dut_b6_io[6]	U1.F19
dut_b6_io[7]	U1.G19
dut_b6_io[8]	U1.G21
dut_b6_io[9]	U1.G20
dut_b7_io[0]	U1.C17
dut_b7_io[1]	U1.A17
dut_b7_io[10]	U1.E18
dut_b7_io[11]	U1.A19
dut_b7_io[12]	U1.C22
dut_b7_io[13]	U1.C19
dut_b7_io[14]	U1.D20
dut_b7_io[15]	U1.D21
dut_b7_io[16]	U1.C21
dut_b7_io[17]	U1.D22
dut_b7_io[18]	U1.E20
dut_b7_io[19]	U1.E22
dut_b7_io[2]	U1.B17
dut_b7_io[3]	U1.A18
dut_b7_io[4]	U1.D17
dut_b7_io[5]	U1.E17
dut_b7_io[6]	U1.D18
dut_b7_io[7]	U1.B18
dut_b7_io[8]	U1.C18
dut_b7_io[9]	U1.B19
bank1_dirb1	U1.J8
bank1_dirb2	U1.J7
bank3_dirb1	U1.H16
bank3_dirb2	U1.G16
bank5_dirb1	U1.G17
bank5_dirb2	U1.G18
bank7_dirb1	U1.E14
bank7_dirb2	U1.F17
uclkout	U1.AA11
ufd0	U1.W11
ufd1	U1.V10
ufd2	U1.W10
ufd3	U1.Y10
ufd4	U1.AA10 
ufd5	U1.AB10 
ufd6	U1.U9
ufd7	U1.V9 
ufd8	U1.U7
ufd9	U1.V6
ufd10	U1.Y6
ufd11	U1.AA6
ufd12	U1.W3
ufd13	U1.W4
ufd14	U1.Y2
ufd15	U1.Y1
uflaga	U1.W9 
uflagb	U1.U8
uflagc	U1.V8
uifclk	U1.Y11
uslrd	U1.V11
uslwr	U1.V12
upa0	U1.Y8
upa1	U1.AA8
upa2	U1.AB8
upa3	U1.V7
upa4	U1.W7
upa5	U1.Y7
upa6	U1.AA7
upa7	U1.AB7
upe0	U1.AB6
upe1	U1.U6
upe2	U1.W5
upe3	U1.Y5
upe4	U1.AA5
upe5	U1.AB5
upe6	U1.AA4
upe7	U1.Y3
ureset	U1.N4 

