#Release 10.1.03 - par K.39 (nt)
#Copyright (c) 1995-2008 Xilinx, Inc.  All rights reserved.

#Mon May 23 11:33:53 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       top_30_map.ncd
#OUTPUT FILE:      top_30_pad.csv
#PART TYPE:        xqv300
#SPEED GRADE:      -4
#PACKAGE:          cb228
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,DCI Value,IO Register,Signal Integrity,
P51,,IOB,IO_VREF_6,UNUSED,,6,,,,,,,,,,
P52,,IOB,IO,UNUSED,,6,,,,,,,,,,
P53,,IOB,IO,UNUSED,,6,,,,,,,,,,
P54,,IOB,IO,UNUSED,,6,,,,,,,,,,
P55,,,M1,,,,,,,,,,,,,
P56,,,GND,,,,,,,,,,,,,
P57,,,M0,,,,,,,,,,,,,
P58,,,VCCO,,,0,,,,,3.30,,,,,
P59,,,M2,,,,,,,,,,,,,
P60,,IOB,IO,UNUSED,,5,,,,,,,,,,
P61,,IOB,IO,UNUSED,,5,,,,,,,,,,
P62,,IOB,IO,UNUSED,,5,,,,,,,,,,
P63,,IOB,IO_VREF_5,UNUSED,,5,,,,,,,,,,
P64,,IOB,IO,UNUSED,,5,,,,,,,,,,
P65,,IOB,IO,UNUSED,,5,,,,,,,,,,
P66,,,GND,,,,,,,,,,,,,
P67,,IOB,IO_VREF_5,UNUSED,,5,,,,,,,,,,
P68,,IOB,IO,UNUSED,,5,,,,,,,,,,
P69,,IOB,IO,UNUSED,,5,,,,,,,,,,
P70,,IOB,IO_VREF_5,UNUSED,,5,,,,,,,,,,
P71,,IOB,IO,UNUSED,,5,,,,,,,,,,
P72,,,GND,,,,,,,,,,,,,
P73,,,VCCINT,,,,,,,,2.5,,,,,
P74,,IOB,IO,UNUSED,,5,,,,,,,,,,
P75,,IOB,IO,UNUSED,,5,,,,,,,,,,
P76,,,VCCO,,,0,,,,,3.30,,,,,
P77,,IOB,IO,UNUSED,,5,,,,,,,,,,
P78,,IOB,IO,UNUSED,,5,,,,,,,,,,
P79,,IOB,IO_VREF_5,UNUSED,,5,,,,,,,,,,
P80,,IOB,IO,UNUSED,,5,,,,,,,,,,
P81,,IOB,IO,UNUSED,,5,,,,,,,,,,
P82,,IOB,IO,UNUSED,,5,,,,,,,,,,
P83,,,VCCINT,,,,,,,,2.5,,,,,
P84,,GCLKIOB,GCK1,UNUSED,,5,,,,,,,,,,
P85,,,VCCO,,,0,,,,,3.30,,,,,
P86,,,GND,,,,,,,,,,,,,
P87,,GCLKIOB,GCK0,UNUSED,,4,,,,,,,,,,
P88,,IOB,IO,UNUSED,,4,,,,,,,,,,
P89,,IOB,IO,UNUSED,,4,,,,,,,,,,
P90,,IOB,IO,UNUSED,,4,,,,,,,,,,
P91,,IOB,IO,UNUSED,,4,,,,,,,,,,
P92,,IOB,IO_VREF_4,UNUSED,,4,,,,,,,,,,
P93,,IOB,IO,UNUSED,,4,,,,,,,,,,
P94,,IOB,IO,UNUSED,,4,,,,,,,,,,
P95,,,VCCO,,,0,,,,,3.30,,,,,
P96,,IOB,IO,UNUSED,,4,,,,,,,,,,
P97,,IOB,IO,UNUSED,,4,,,,,,,,,,
P98,,IOB,IO,UNUSED,,4,,,,,,,,,,
P99,,,VCCINT,,,,,,,,2.5,,,,,
P100,,,GND,,,,,,,,,,,,,
P101,,IOB,IO,UNUSED,,4,,,,,,,,,,
P102,,IOB,IO_VREF_4,UNUSED,,4,,,,,,,,,,
P103,,IOB,IO,UNUSED,,4,,,,,,,,,,
P104,,IOB,IO,UNUSED,,4,,,,,,,,,,
P105,,IOB,IO_VREF_4,UNUSED,,4,,,,,,,,,,
P106,,,GND,,,,,,,,,,,,,
P107,,IOB,IO,UNUSED,,4,,,,,,,,,,
P108,,IOB,IO,UNUSED,,4,,,,,,,,,,
P109,,IOB,IO_VREF_4,UNUSED,,4,,,,,,,,,,
P110,,IOB,IO,UNUSED,,4,,,,,,,,,,
P111,,IOB,IO,UNUSED,,4,,,,,,,,,,
P112,,IOB,IO,UNUSED,,4,,,,,,,,,,
P113,,,GND,,,,,,,,,,,,,
P114,,,DONE,,,,,,,,,,,,,
P115,,,VCCO,,,0,,,,,3.30,,,,,
P116,,,PROGRAM,,,,,,,,,,,,,
P117,data_in<14>,IOB,IO_INIT,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P118,data_in<13>,IOB,IO_D7,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P119,data_in<15>,IOB,IO,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P120,data_in<19>,IOB,IO_VREF_3,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P121,data_in<12>,IOB,IO,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P122,data_in<11>,IOB,IO,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P123,,,GND,,,,,,,,,,,,,
P124,data_in<16>,IOB,IO_VREF_3,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P125,data_in<17>,IOB,IO,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P126,data_in<8>,IOB,IO,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P127,data_in<10>,IOB,IO_VREF_3,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P128,data_in<18>,IOB,IO_D6,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P129,,,GND,,,,,,,,,,,,,
P130,,,VCCINT,,,,,,,,2.5,,,,,
P131,data_in<9>,IOB,IO_D5,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P132,data_in<7>,IOB,IO,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P133,,,VCCO,,,0,,,,,3.30,,,,,
P134,,IOB,IO,UNUSED,,3,,,,,,,,,,
P135,,IOB,IO,UNUSED,,3,,,,,,,,,,
P136,data_in<4>,IOB,IO_VREF_3,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P137,data_in<6>,IOB,IO_D4,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P138,data_in<5>,IOB,IO,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P139,,IOB,IO,UNUSED,,3,,,,,,,,,,
P140,,,VCCINT,,,,,,,,2.5,,,,,
P141,data_in<2>,IOB,IO_TRDY,INPUT,LVTTL*,3,,,,NONE,,,,NO,NONE,
P142,,,VCCO,,,0,,,,,3.30,,,,,
P143,,,GND,,,,,,,,,,,,,
P144,data_in<0>,IOB,IO_IRDY,INPUT,LVTTL*,2,,,,NONE,,,,NO,NONE,
P145,data_in<3>,IOB,IO,INPUT,LVTTL*,2,,,,NONE,,,,NO,NONE,
P146,data_in<1>,IOB,IO,INPUT,LVTTL*,2,,,,NONE,,,,NO,NONE,
P147,,IOB,IO,UNUSED,,2,,,,,,,,,,
P148,,IOB,IO_D3,UNUSED,,2,,,,,,,,,,
P149,,IOB,IO_VREF_2,UNUSED,,2,,,,,,,,,,
P150,,IOB,IO,UNUSED,,2,,,,,,,,,,
P151,,IOB,IO,UNUSED,,2,,,,,,,,,,
P152,,,VCCO,,,0,,,,,3.30,,,,,
P153,,IOB,IO,UNUSED,,2,,,,,,,,,,
P154,,IOB,IO,UNUSED,,2,,,,,,,,,,
P155,,IOB,IO_D2,UNUSED,,2,,,,,,,,,,
P156,,,VCCINT,,,,,,,,2.5,,,,,
P157,,,GND,,,,,,,,,,,,,
P158,,IOB,IO_D1,UNUSED,,2,,,,,,,,,,
P159,,IOB,IO_VREF_2,UNUSED,,2,,,,,,,,,,
P160,,IOB,IO,UNUSED,,2,,,,,,,,,,
P161,,IOB,IO,UNUSED,,2,,,,,,,,,,
P162,k_char<4>,IOB,IO_VREF_2,INPUT,LVTTL*,2,,,,NONE,,,,NO,NONE,
P163,,,GND,,,,,,,,,,,,,
P164,k_char<3>,IOB,IO,INPUT,LVTTL*,2,,,,NONE,,,,NO,NONE,
P165,ill_char_det_o,IOB,IO,OUTPUT,LVTTL*,2,12,SLOW,NONE**,,,,,NO,NONE,
P166,k_char<2>,IOB,IO_VREF_2,INPUT,LVTTL*,2,,,,NONE,,,,NO,NONE,
P167,,IOB,IO,UNUSED,,2,,,,,,,,,,
P168,,IOB,IO_DIN_D0,UNUSED,,2,,,,,,,,,,
P169,,IOB,IO_DOUT_BUSY,UNUSED,,2,,,,,,,,,,
P170,,,CCLK,,,,,,,,,,,,,
P171,,,VCCO,,,0,,,,,3.30,,,,,
P172,,,TDO,,,,,,,,,,,,,
P173,,,GND,,,,,,,,,,,,,
P174,,,TDI,,,,,,,,,,,,,
P175,,IOB,IO_CS,UNUSED,,1,,,,,,,,,,
P176,,IOB,IO_WRITE,UNUSED,,1,,,,,,,,,,
P177,,IOB,IO,UNUSED,,1,,,,,,,,,,
P178,k_char<1>,IOB,IO_VREF_1,INPUT,LVTTL*,1,,,,NONE,,,,NO,NONE,
P179,k_char<0>,IOB,IO,INPUT,LVTTL*,1,,,,NONE,,,,NO,NONE,
P180,,,GND,,,,,,,,,,,,,
P181,decode_o<14>,IOB,IO_VREF_1,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
P182,decode_o<15>,IOB,IO,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
P183,decode_o<13>,IOB,IO,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
P184,decode_o<11>,IOB,IO_VREF_1,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
P185,decode_o<12>,IOB,IO,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
P186,,,GND,,,,,,,,,,,,,
P187,,,VCCINT,,,,,,,,2.5,,,,,
P188,decode_o<10>,IOB,IO,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
P189,decode_o<8>,IOB,IO,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
P190,decode_o<9>,IOB,IO,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
P191,,,VCCO,,,0,,,,,3.30,,,,,
P192,decode_o<6>,IOB,IO,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
P193,decode_o<7>,IOB,IO,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
P194,decode_o<4>,IOB,IO_VREF_1,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
P195,decode_o<5>,IOB,IO,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
P196,decode_o<3>,IOB,IO,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
P197,decode_o<1>,IOB,IO,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
P198,decode_o<2>,IOB,IO,OUTPUT,LVTTL*,1,12,SLOW,NONE**,,,,,NO,NONE,
P199,clk,GCLKIOB,GCK2,INPUT,LVTTL*,1,,,,NONE,,LOCATED,,NO,NONE,
P200,,,GND,,,,,,,,,,,,,
P201,,,VCCO,,,0,,,,,3.30,,,,,
P202,,GCLKIOB,GCK3,UNUSED,,0,,,,,,,,,,
P203,,,VCCINT,,,,,,,,2.5,,,,,
P204,decode_o<0>,IOB,IO,OUTPUT,LVTTL*,0,12,SLOW,NONE**,,,,,NO,NONE,
P205,,IOB,IO,UNUSED,,0,,,,,,,,,,
P206,,IOB,IO,UNUSED,,0,,,,,,,,,,
P207,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,,,,
P208,,IOB,IO,UNUSED,,0,,,,,,,,,,
P209,,IOB,IO,UNUSED,,0,,,,,,,,,,
P210,,,VCCO,,,0,,,,,3.30,,,,,
P211,,IOB,IO,UNUSED,,0,,,,,,,,,,
P212,,IOB,IO,UNUSED,,0,,,,,,,,,,
P213,,IOB,IO,UNUSED,,0,,,,,,,,,,
P214,,,VCCINT,,,,,,,,2.5,,,,,
P215,,,GND,,,,,,,,,,,,,
P216,,IOB,IO,UNUSED,,0,,,,,,,,,,
P217,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,,,,
P218,,IOB,IO,UNUSED,,0,,,,,,,,,,
P219,,IOB,IO,UNUSED,,0,,,,,,,,,,
P220,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,,,,
P221,,,GND,,,,,,,,,,,,,
P222,,IOB,IO,UNUSED,,0,,,,,,,,,,
P223,,IOB,IO,UNUSED,,0,,,,,,,,,,
P224,,IOB,IO_VREF_0,UNUSED,,0,,,,,,,,,,
P225,,IOB,IO,UNUSED,,0,,,,,,,,,,
P226,rst,IOB,IO,INPUT,LVTTL*,0,,,,NONE,,LOCATED,,NO,NONE,
P227,,,TCK,,,,,,,,,,,,,
P228,,,VCCO,,,0,,,,,3.30,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
